author,desc,genre,img,isbn,link,pages,rating,reviews,title,totalratings
Edward Packard,"By making the correct decisions, the reader assists Jane and Michael in determining whether a spooky stone house is really cursed.","Gamebooks,Choose Your Own Adventure,Fiction,Childrens,Games,Gamebooks,Young Adult,Mystery,Fantasy,Horror,Asian Literature,Indonesian Literature,Sports and Games,Games",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295785359l/1154134.jpg,553209612,https://goodreads.com/book/show/1154134.The_Mystery_of_Chimney_Rock,121,3.88,66,"The Mystery of Chimney Rock (Choose Your Own Adventure, #5)",872
Kyousuke Motomi,"Reads R to L (Japanese Style), for audiences T+.,Can a mysterious DAISY protect her?,After orphan Teru Kurebayashi loses her beloved older brother, she finds solace in the messages she exchanges with DAISY, an enigmatic figure who can only be reached through the cell phone her brother left her. Meanwhile, mysterious Tasuku Kurosaki always seems to be around whenever Teru needs help… Could DAISY be a lot closer than Teru thinks?,As Teru comes to terms with Kurosaki’s past wrongdoings, Kurosaki searches for the culprit who is trying to resurrect the “Jack Frost” virus he created. But when he learns that Teru might be in danger, will he keep his promise to leave her alone, or will the two be reunited?","Sequential Art,Manga,Romance,Manga,Shojo,Sequential Art,Graphic Novels,Young Adult,Humor,Comedy,Comics Manga,Mystery,Humor,Contemporary",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327609173l/11541431.jpg,3842003137,https://goodreads.com/book/show/11541431-dengeki-daisy-09,208,4.44,73,Dengeki Daisy 09,4263
Georgia Beers,"Erica Ryan is flying home from London after a disastrous business trip. Free spirit Abby Hayes is flying into New York City to visit her mother before jetting off again. Both end up in Gander, Canada, when their flight is diverted because of 9/11. For ninety-six hours they share a rollercoaster of emotions and find themselves drawn to one another. Will their nascent connection survive everyday life when they return home?","LGBT,Lesbian,Romance,LGBT,Romance,Lesbian Romance,Lesbian,Lesbian Fiction,Fiction,Contemporary,Audiobook,GLBT,Queer,LGBT,Gay",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327910776l/11541444.jpg,1932859845,https://goodreads.com/book/show/11541444-96-hours,272,3.98,126,96 Hours,1783
Stacey Jay,"The second book in a new urban fantasy series featuring mosquito-sized fairies with poisonous bites that drive humans insane.,It's only been three weeks since Annabelle helped solve the murder of Grace Beauchamp, and in the process, she discovered a secret world of invisible, magic-working people who have decided she might have what it takes to join their ranks. ,As best as she can determine, Annabelle’s attack by a group of fairies has infected her with paranormal ability she did not previously possess, including being able to mentally move objects and heal wounds. Her new abilities appear to have few negative side effects, aside from creepy dreams. But would that change if she stopped injecting herself with the mystery drug delivered to her by the even more mysterious Tucker, one of the Invisibles? Leery of trusting criminals with her health, Annabelle wishes she had someone she could talk to about the changes in her life. Enter Hitch, FBI agent and Annabelle's ex, who's back in Donaldsonville on an off-the-books investigation. Hitch suspects that there's a government-funded illegal lab that’s developing a controversial fairy-killing spray that could adversely affect the existence of every living thing in the delta—including humans. And Hitch and Annabelle will have to find a way to work together if they're going to find a way to shut it down.","Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Fairies,Fae,Fantasy,Magic,Romance,Paranormal,Fairies,Adult,Mystery,Romance,Paranormal Romance",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316228650l/11541470.jpg,1439189870,https://goodreads.com/book/show/11541470-blood-on-the-bayou,352,3.95,130,Blood on the Bayou,1373
Rachel Lindsay,"WHO COULD LOVE A MAN SO HARD AND BITTER?,Nicole Herriot dislike Pierre Dubois from the moment they met, and worked hard to free her uncle's Paris couture house from Pierre's influence. — When Uncle Louis became ill, Nicole had to create the winter collection. If she failed in her designs, Louis would lose half his business; but if she succeeded...,...she would lose any hope that Pierre's attitude toward her might soften. And unfortunately, Nicole was falling in love with him.","Harlequin,Harlequin Romance",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344343428l/11541698.jpg,373805012,https://goodreads.com/book/show/11541698-house-of-lorraine,0,2.89,5,House of Lorraine,27
A.L. Rees,"Avant-garde film is almost indefinable. It is in a constant state of change and redefinition. In this book A.L. Rees tracks the movement of the film avant-garde between, on the one hand, the cinema, and, on the other hand, modern art (with its post-modern coda). But he also reconstitutes the film avant-garde as an independent form of art practice with its own internal logic and aesthetic discourse.,This is the first major history of avant-garde film and video to be published in more than twenty years. Ranging from Cezanne and dada, via Cocteau, Brakhage and Le Grice, to the new wave of British video artists in the 90s, this remarkable study will introduce a generation of new readers to avant-garde film as well as provoking students and specialists to further reflection and debate. ","Culture,Film,Art,Nonfiction,History",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1315713135l/1154177.jpg,851706819,https://goodreads.com/book/show/1154177.A_History_of_Experimental_Film_and_Video,256,3.81,1,A History of Experimental Film and Video,53
Ellen Banda-Aaku,"Winner of the Penguin Prize for African Writing 2010 (fiction). Destined from birth to inhabit two very different worlds - that of her father, the wealthy Joseph Sakavungo, and that of her mother, his mistress - this emotive tale takes us to the heart of a young girl's attempts to come to terms with her own identity and fashion a future for herself from the patchwork of the life she was born into. Beautifully constructed, warm and wise, this is a novel that will transport the reader to a world in which we can all become more of the sum of our parts.","Cultural,Africa,Eastern Africa,Zambia,Fiction,Contemporary,Literature,African Literature,Young Adult,Coming Of Age,Literature,21st Century,Womens,Novels",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881132l/11541822.jpg,143527533,https://goodreads.com/book/show/11541822-patchwork,216,3.75,41,Patchwork,194
Jasper Kim,"Are you thinking of attending law school or switching legal careers? About to graduate and wondering which path to take? Are you curious about what lawyers in different fields do in a typical day? Then spend twenty-four hours with twenty-four lawyers through this innovative book, 24 Hours with 24 Lawyers. Whether you want to be a full-time corporate lawyer, work as a legal consultant while pursuing your music career, or anything in between, this book gives you a unique ""all-access pass"" into the real-world, real-time personal and professional lives of twenty-four law school graduates. These working professionals each present you with a ""profile"" chronicling a typical twenty-four-hour day in their traditional and non-traditional careers. You will read actual twenty-four-hour accounts from the perspective of a venture capitalist, Wall Street lawyer, lobbyist, entertainment lawyer, IP attorney, sports broadcaster, JAG officer, prosecutor, criminal defense lawyer, mediator, and politician, just to name a few. From the time they wake up in the morning to the time they go to bed, each professional illustrates what their position entails on a day-to-day basis and will give you invaluable, informative, and honest insight above and beyond what many brochures, guest lectures, career workshops, or law firm website descriptions can provide. After reading 24 Hours with 24 Lawyers, you'll be better prepared to determine which career profile may suit you best before accepting a new job or investing in a legal education.","Law,Nonfiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348515158l/11541863.jpg,314276319,https://goodreads.com/book/show/11541863-24-hours-with-24-lawyers,371,3.83,14,24 Hours with 24 Lawyers: Profiles of Traditional and Non-Traditional Careers,128
Peter David,"The last true hope for freedom, Babylon 5 is struggling to survive. The station has severed its ties with Earth--and has been quarantined in retaliation. ,Then, in the depths of hyperspace, a squad of Starfuries makes an astounding discovery that could affect the destiny of the civilized universe. But have the pilots from the embattled space station uncovered the threshold to a new age . . . or a gateway to hell?,As they recover a gargantuan alien artifact floating derelict in space, both Captain Sheridan and archaeologist Elizabeth Quijana know it is a gold mine of possibilities. But the telepath Lyta is the first to sense the danger, when her mind is assaulted by swift, crippling images of unspeakable terror. And as research teams attempt to penetrate the mysteries of the mammoth machine, Babylon 5 is thrust toward a terrifying confrontation with the monstrous dimension of Thirdspace . . .","Media Tie In,Babylon 5,Science Fiction,Fiction,Media Tie In,Tv,Space,Space Opera,Science Fiction Fantasy",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327566816l/1154186.jpg,345424549,https://goodreads.com/book/show/1154186.Thirdspace,256,3.47,8,Thirdspace,192
"Nancy Anderson,Lael Littke,Carroll Hofeling Morris","In this engrossing sequel to Almost Sisters, Juneau, Willadene, and Erin continue their mutual association as they each weather unexpected trials. As the years go by, old friends pass away, new people enter thier lives, and grueling challenges test their faith. Juneau finds her relationships with her friends and family evolving, especially when she becomes the guardian of a baby boy. Willadene finds herself coping with postpartum psychosis and struggling to keep her older children from going astray. And Erin must adapt in order to hold her young family together after her husband makes a startling revelation. The innocent friendship that began at a BYU Women's Conference matures as the three women find support in one another, and continue their mission to become Crusty Old Broads.","Lds,Lds Fiction,Fiction,Christianity,Lds",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181446059l/1154190.jpg,1590387201,https://goodreads.com/book/show/1154190.Three_Tickets_to_Peoria,374,3.67,66,Three Tickets to Peoria,267
"Kimberly A. Huisman,Mazie Hough,Kristin M. Langellier,Carol Nordstrom Toner,Ahmed I. Samatar","Lewiston, a mill town of about thirty-six thousand people, is the second-largest city in Maine. It is also home to some three thousand Somali refugees. After initially being resettled in larger cities elsewhere, Somalis began to arrive in Lewiston by the dozens, then the hundreds, after hearing stories of Maine’s attractions through family networks. Today, cross-cultural interactions are reshaping the identities of Somalis—and adding new chapters to the immigrant history of Maine., ,Somalis in Maine ,offers a kaleidoscope of voices that situate the story of Somalis’ migration to Lewiston within a larger cultural narrative. Combining academic analysis with refugees’ personal stories, this anthology includes reflections on leaving Somalia, the experiences of Somali youth in U.S. schools, the reasons for Somali secondary migration to Lewiston, the employment of many Lewiston Somalis at Maine icon L. L. Bean, and community dialogues with white Mainers. ,Somalis in Maine ,seeks to counter stereotypes of refugees as being socially dependent and unable to assimilate, to convey the richness and diversity of Somali culture, and to contribute to a greater understanding of the intertwined futures of Somalis and Americans.","Eastern Africa,Somalia",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320560263l/11541929.jpg,1556439261,https://goodreads.com/book/show/11541929-somalis-in-maine,400,4.04,3,Somalis in Maine: Crossing Cultural Currents,24
Philip H. Farber,"How powerful, seductive, or mythical would you like your life to be?,The ultimate goal of invocation is to infuse your life with more excitement, purpose, and passion. Recent discoveries in neuroscience suggest that the magical practices of evocation and invocation are based in natural brain functions--this book is the first to present a theory of magick based on the new research. ,Brain Magick, is packed full of exercises (more than 70) that illustrate the principles of neuroscience and magick, and has everything you need to quickly develop skill in the art of invocation.,This easily practiced form of ritual technology is appropriate for complete novices and magical adepts alike. If you are familiar with any kind of magick--Wiccan, Thelemic, Golden Dawn, Goetic, Chaos, or Hermetic--this book will provide opportunities to consider your practice in a new light, and take your magical experiences to a new level. Even if you've never practiced any magick before, you'll be able to start immediately.,Praise: ,Farber begins by asking, 'How much do you want your own story to rock?' then with an exuberant 'Woohoo' proceeds to hand us sane and practical tools and exercises to become a true superstar in the only world that really matters ... our own brain. Powerfully provocative and original.--Lon Milo DuQuette, author of ,Low Magick, and ,My Life with the Spirits,All real magick requires both dedication and skill, here Phil Farber delivers both. This is a guide to tapping into living magistery of the universe.--Dr. Richard Bandler, co-founder of NLP","Occult,Magick,Occult,Nonfiction,Spirituality,Psychology,Fantasy,Magic,Witchcraft,Science,Religion,Paganism,Reference,Research",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348994488l/11541937.jpg,738729264,https://goodreads.com/book/show/11541937-brain-magick,247,3.8,7,Brain Magick: Exercises in Meta-Magick and Invocation,103
"Robbie Morrison,Trevor Hairsine","The legendary video game franchise from Eidos Interactive comes to comics, in advance of the highly anticipated new game. Adam Jensen is a cybernetically enhanced security operative for the powerful Sarif Industries in a future where biological enhancements have become increasingly commonplace . . . but fanatically opposed by many! While recovering the kidnapped niece of the founder of Sarif Industries, Jensen uncovers a mystery that goes all the way back to his fully human SWAT origins in Detroit – and an adventure of violence and betrayal that’ll span the globe begins.","Sequential Art,Comics,Science Fiction,Science Fiction,Cyberpunk,Games,Video Games,Sequential Art,Graphic Novels",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320408162l/11541950.jpg,1401231497,https://goodreads.com/book/show/11541950-deus-ex,144,3.52,4,Deus Ex,65
"Elizabeth J. Colen,John Jodzio,Tim Jones-Yelvington,Sean Lovelace,Mary  Miller","Fiction. THEY COULD NO LONGER CONTAIN THEMSELVES contains--but just barely--five chapbooks of flash fiction, including the winner of the third annual Rose Metal Press short short chapbook contest, and four of the finalists from the fourth. Dropped toddlers, attempted drownings, juvenile promiscuity, road trips, and inappropriate therapy sessions compose the multi-voiced family portrait in Dear Mother Monster, Dear Daughter Mistake by Elizabeth J. Colen. Yoga stalkers, guns and gold, babies with iron stomachs, drunkards with t-shirt cannons, and warlocks are the stuff of Do Not Touch Me Not Now Not Ever by John Jodzio. Dominatrixes and fetishists, face paint and goo, fierce parental love and perverse longings cohabitate in Evan's House and the Other Boys Who Live There by Tim Jones-Yelvington. Leukemia, meteorites, Wal-Mart, bocce ball, Charlie Brown's clinical depression, the language of talking crows and of Che Guevara's omelets fill the eggs in How Some People Like Their Eggs by Sean Lovelace. And smallstories about pretty girls who sit quietly and behave themselves (or not) populate the pages of Paper and Tassels by Mary Miller.","Fiction,Short Stories",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335923441l/11542000.jpg,984616616,https://goodreads.com/book/show/11542000-they-could-no-longer-contain-themselves,248,4.33,16,They Could No Longer Contain Themselves: A Collection of Five Flash Chapbooks,72
Mara Purnhagen,"Charlotte Silver has been through hell.,Her mom’ s in a coma. She may have caused the death of a young man. And now her friend Avery wants her to tackle going to Prom? Not going to happen, even if she is dying to spend some alone time with her boyfriend, Noah. Instead, Charlotte needs to find some answers to a few nagging questionswhy was her family attacked? Will her mother survive? And is there a creature from the Other Side coming for her? Soon enough, Charlotte's search for the truth becomes a race against time. But she may just find the sign she's been looking for all along....,
  ,An ebook exclusive Past Midnight series novella.,
","Young Adult,Fantasy,Paranormal,Paranormal,Ghosts,Fantasy,Fantasy,Supernatural,Romance,Fiction,Short Stories,Fantasy,Urban Fantasy,Young Adult,Teen",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312467509l/11542006.jpg,1459209028,https://goodreads.com/book/show/11542006-haunting-the-night,62,3.61,42,Haunting the Night,338
Clive Gamble,"Palaeolithic societies have been a neglected topic in the discussion of human origins. But in the past forty years archaeologists have recovered a wealth of information from Palaeolithic sites throughout the European continent that reveal many illuminating facets of social life over this 500,000-year period. Clive Gamble, introducing a new approach to this material, interrogates the data for information on the scale of social interaction, and the forms of social existence. The result is a reconstruction of ancient human societies, and a fresh perspective on the unique experience of human beings.","History,Prehistory,Nonfiction,History,Archaeology",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348910561l/1154209.jpg,521658721,https://goodreads.com/book/show/1154209.The_Palaeolithic_Societies_of_Europe,528,4,2,The Palaeolithic Societies of Europe,30
"Bernie Morris,Linda Koperski,Carole Devine",An easy guide to astrological traits and qualities of all 12 zodiac signs in alphabetical order; also including relevant illustrations and verses.,"Esoterica,Astrology",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349001840l/11542108.jpg,956299326,https://goodreads.com/book/show/11542108-abc-of-astrology,118,4.38,4,ABC of Astrology,60
"Miu Ootsuki,大槻ミゥ","【お前ん中、入れてくれよ】,彼女にフラれ、傷心の樋乃を慰めるハメになった野波。　理解できないと思いながらも、何故か樋乃の真っ直ぐな心に惹かれてゆき―――。切なくも甘い青春グラフィティ。","Sequential Art,Manga,Manga,Yaoi,Yaoi,Boys Love,Yaoi,Shounen Ai",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328122794l/11542114.jpg,4862524656,https://goodreads.com/book/show/11542114-ai-dano-koi-dano,161,3.47,8,愛だの恋だの [Ai dano Koi dano],122
"John Vornholt,J. Michael Straczynski","Having narrowly escaped death, Ambassador G'Kar knows he is a marked man. A rival family from his Narn homeland has taken the Blood Oath to kill him. Security Chief Garibaldi, Commander Susan Ivanova and Na'Toth journey to the Narn Homeworld and find themselves enveloped by a chilling alien environment. And in this deadly place, the Narn Blood Oath is turned against them all.","Media Tie In,Babylon 5,Science Fiction,Fiction,Media Tie In,Tv,Science Fiction Fantasy,Space,Space Opera,Media Tie In,Science Fiction,Aliens,Fantasy",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181446114l/1154218.jpg,440220599,https://goodreads.com/book/show/1154218.Blood_Oath,247,3.3,15,Blood Oath,237
"Darryl Millis,Robert A.  Taylor,David   Levine","This one-of-a-kind resource bridges the gap between physical therapy and veterinary training. It provides an understanding of basic physical therapy techniques and interventions, empowering vets to effectively evaluate and treat dogs with debilitating conditions. Important legal and ethical issues are thoroughly explored, and regulatory practices and collaborative relationships are clearly explained. Provides thorough coverage of physical therapy, from historical aspects to diagnosis and treatment. Presents proposed cases and specific therapies that can be used as guidelines for the management of clinical patients. Features an extensive chapter on the physical examination of the canine, with information ranging from general orthopedic assessment to surgery. Discusses the applications of aquatic therapy for dogs in a chapter devoted to this type of therapy. More than 300 illustrations highlight key concepts and procedures. Contains a glossary of common terms in veterinary and physical therapy medicine",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348365879l/1154223.jpg,721695558,https://goodreads.com/book/show/1154223.Canine_Rehabilitation_and_Physical_Therapy,544,4.63,0,Canine Rehabilitation and Physical Therapy,19
Lídia Jorge,"Há uma pergunta que percorre este romance de Lídia Jorge, da primeira à última página: Quantas vítimas se deixa pelo caminho para se perseguir um objectivo? A acção do romance decorre no final dos anos 80 do século XX e invoca um tema de inesperada audácia - o da força da idolatria e a construção do êxito - visto a partir do interior de um grupo, narrado 21 anos mais tarde, na forma de um monólogo. ,Como é habitual na obra da autora, a questão social é relevante - a força do todo e a aniquilação do indivíduo perante o colectivo são temas presentes neste livro. Mas aqui, tratando-se de um grupo fechado e dominado pela música, a parábola social submerge perante a descrição de um ambiente de grande envolvimento humano e de densidade poética. ,Servido por uma narrativa ao mesmo tempo rude e mágica, A Noite das Mulheres Cantoras propõe a quem o lê a história de seis figuras que passam a viver para sempre no nosso imaginário. ,A história de amor comovente que une as duas personagens principais, Solange de Matos e João de Lucena, é, por certo, um daqueles episódios que iluminam a realidade e tornam indispensáveis a grande literatura sobre a vida de hoje, com os ingredientes próprios da cultura dos nossos dias.","Romance,European Literature,Portuguese Literature,Cultural,Portugal,Fiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1307223911l/11542264.jpg,972204513X,https://goodreads.com/book/show/11542264-a-noite-das-mulheres-cantoras,317,3.12,11,A Noite das Mulheres Cantoras,147
